,hedge,x..i..
2008-12-23,-3.27496281,NA
2008-12-24,-3.183431001,-0.988809616
2008-12-26,-3.229155769,0.56816569
2008-12-29,-3.325459964,1.312897945
2008-12-30,-3.264888299,-0.376473762
2008-12-31,-3.180396136,-0.773342028
2009-01-02,-3.383975914,1.934690525
2009-01-05,-3.516335223,1.890619804
2009-01-06,-3.496019496,-0.143281894
2009-01-07,-3.533676083,0.107356998
2009-01-08,-3.598631052,0.816670661
2009-01-09,-3.609084941,-0.322558092
2009-01-12,-3.654007651,0.281529918
2009-01-13,-3.697790492,0.621887152
2009-01-14,-3.74101953,0.076574108
2009-01-15,-3.982417114,2.365677972
2009-01-16,-4.169294907,1.564674573
2009-01-20,-4.279827609,4.190857709
2009-01-21,-3.750309765,-2.133017267
2009-01-22,-3.870678463,0.8476381
2009-01-23,-3.853877379,0.207376158
2009-01-26,-4.020186971,1.486571224
2009-01-27,-3.852173426,-1.166306287
2009-01-28,-3.284802899,-3.197090144
2009-01-29,-3.393614934,0.920632507
2009-01-30,-3.438743021,0.222169347
2009-02-02,-3.385637878,-0.75007736
2009-02-03,-3.553682835,1.375487512
2009-02-04,-3.622141861,0.795291431
2009-02-05,-3.671387638,0.652820531
2009-02-06,-3.362256166,-1.596783844
2009-02-09,-3.335861836,-0.189934042
2009-02-10,-3.451569159,1.05913485
2009-02-11,-3.219248158,-2.017356634
2009-02-12,-3.267861348,0.459786587
2009-02-13,-3.377626195,1.253416405
